port,Country,lat,lng,"Country Name, Full",Country Code
Tacoma,"USA, Puerto Rico and US Virgin Islands",47.27,-122.4,"USA, Puerto Rico and US Virgin Islands",842
Ningbo,China,29.95,121.71,China,156
Yantian,China,22.46,113.88,China,156
Qingdao,China,36.06,120.32,China,156
Kaohsiung,Taiwan,22.6,120.29,Taiwan,158
Tokyo,Japan,35.62,139.8,Japan,392
Shanghai,China,31.33,121.61,China,156
Vancouver,Canada,49.283,-123.1,Canada,124
Osaka,Japan,34.65,135.42,Japan,392
