ID,Route
10626,"Gioia Tauro,Naples,La Spezia,Barcelona,Valencia,Algeciras,Sines,Freeport (Bah),Port Everglades,Veracruz,Altamira,Houston,New Orleans,Miami,Freeport (Bah),Sines,Algeciras,Barcelona,Gioia Tauro"
10901,"Bremerhaven,Antwerp,London-Gateway,Norfolk,Philadelphia,NewYork-NewJersey,Halifax,Bremerhaven"
10902,"London-Gateway,Le Havre,Rotterdam,Bremerhaven,NewYork-NewJersey,Charleston,Savannah,London-Gateway"
10903,"Antwerp,Bremerhaven,Southampton,Charleston,Port Everglades,Houston,Savannah,Norfolk,Antwerp"
10904,"Southampton,Antwerp,Bremerhaven,Le Havre,Veracruz,Altamira,Houston,New Orleans,Mobile,Southampton"
10905,"Southampton,Rotterdam,Hamburg,Antwerp,Le Havre,Savannah,Cartagena (Col),Los Angeles,Oakland,Tacoma,Vancouver (US),Oakland,Los Angeles,Balboa,Cartagena (Col),Caucedo,Savannah,Southampton"
11122,"Southampton,Antwerp,Rotterdam,Bremerhaven,Le Havre,NewYork-NewJersey,Norfolk,Savannah,Charleston,Southampton"
11123,"Le Havre,Antwerp,Rotterdam,Bremerhaven,Charleston,Savannah,Miami,Veracruz,Altamira,Houston,New Orleans,Le Havre"
16121,"Algeciras,Marsaxlokk,Salerno,Livorno,Genoa,Fos,Barcelona,Valencia,NewYork-NewJersey,Norfolk,Savannah,Miami,Algeciras"
16306,"Salerno,Livorno,La Spezia,Genoa,Fos,Halifax,NewYork-NewJersey,Norfolk,Savannah,Salerno"
16307,"Ashdod,Haifa,Izmir,Piraeus,Barcelona,Tarragona,Valencia,Algeciras,Halifax,NewYork-NewJersey,Norfolk,Savannah,Valencia,Tarragona,Mersin,Ashdod"
18251,"Gioia Tauro,Livorno,Genoa,Montreal,Gioia Tauro"
18252,"Valencia,Sines,Montreal,Sines,Barcelona,Valencia"
20451,"Yokohama,Hakata,Busan,Dalian,Qingdao,Dutch Harbor,Kodiak,Dutch Harbor,Yokohama"
20653,"Qingdao,Tianjin,Shanghai,Ningbo-Zhoushan,Savannah,Charleston,Wilmington (NC),Jacksonville,Busan,Qingdao"
20654,"Qingdao,Ningbo-Zhoushan,Shanghai,Xiamen,Shenzhen,Busan,Houston,Mobile,Freeport (Bah),Balboa,Busan,Qingdao"
20655,"Singapore,Shenzhen,Shenzhen,Hong Kong,Ningbo-Zhoushan,Shanghai,Busan,NewYork-NewJersey,Baltimore,Norfolk,Suez Canal,Salalah,Colombo,Singapore"
20658,"Guangzhou,Shenzhen,Ningbo-Zhoushan,Shanghai,Busan,Prince Rupert,Vancouver (Canada),Busan,Guangzhou"
20661,"Kaohsiung,Shenzhen,Xiamen,Shanghai,Busan,Vancouver (Canada),Seattle,Yokohama,Busan,Kaohsiung"
20666,"Hong Kong,Shenzhen,Shanghai,Busan,Cristobal,Savannah,Norfolk,Charleston,Miami,Freeport (Bah),Hong Kong"
20668,"Tianjin,Qingdao,Ningbo-Zhoushan,Busan,Yokohama,Long Beach,Oakland,Tianjin"
20671,"Xiamen,Kaohsiung,Shenzhen,Shenzhen,Ho Chi Minh City,Singapore,Salalah,Suez Canal,NewYork-NewJersey,Norfolk,Charleston,Savannah,Miami,Freeport (Bah),NewYork-NewJersey,Suez Canal,Singapore,Xiamen"
20701,"Fuzhou,Guangzhou,Hong Kong,Shenzhen,Xiamen,Los Angeles,Oakland,Fuzhou"
20702,"Tianjin,Qingdao,Shanghai,Prince Rupert,Long Beach,Oakland,Tianjin"
20703,"Los Angeles,Oakland,Hong Kong,Ho Chi Minh City,Singapore,Port Kelang,Colombo,Suez Canal,Halifax,NewYork-NewJersey,Norfolk,Savannah,Charleston,Suez Canal,Port Kelang,Singapore,Jakarta,Laem Chabang,Ho Chi Minh City,Los Angeles"
20704,"Dalian,Lianyungang,Shanghai,Ningbo-Zhoushan,Long Beach,Seattle,Dalian"
20705,"Qingdao,Shanghai,Ningbo-Zhoushan,Los Angeles,Oakland,Tokyo,Nagoya,Qingdao"
20706,"Kaohsiung,Ho Chi Minh City,Shenzhen,Hong Kong,Shenzhen,Kaohsiung,Long Beach,Kaohsiung"
20707,"Taipei,Xiamen,Shenzhen,Shenzhen,Los Angeles,Oakland,Taipei"
20708,"Shenzhen,Hong Kong,Kaohsiung,Taipei,Los Angeles,Oakland,Tacoma,Kaohsiung,Shenzhen"
20709,"Busan,Ningbo-Zhoushan,Shanghai,Busan,Long Beach,Busan"
20711,"Shenzhen,Xiamen,Ningbo-Zhoushan,Shanghai,Busan,Seattle,Vancouver (Canada),Yokohama,Shenzhen"
20712,"Singapore,Ho Chi Minh City,Hong Kong,Shenzhen,Ningbo-Zhoushan,Shanghai,Prince Rupert,Vancouver (US),Yokohama,Qingdao,Ningbo-Zhoushan,Shanghai,Busan,NewYork-NewJersey,Boston,Norfolk,Suez Canal,Singapore"
20713,"Hong Kong,Shenzhen,Kaohsiung,Shanghai,Ningbo-Zhoushan,Tacoma,Vancouver (Canada),Tokyo,Osaka,Qingdao,Hong Kong"
